"State","Segment","Propulsion","Year","LIB_recycling","LIB_available","LIB_reuse_EV","LIB_new_add","LIB_repurpose","EV_stock","LIB_recycling_vector","LIB_available_vector","LIB_reuse_vector","LIB_newadd_vector","LIB_repurpose_vector","EV_stock_vector","domestic_factor"
"Alberta","SUV","BEV",2046,87963,59065,12985,69300,59065,1928951,"0|809|1225|1821|2641|3728|5035|6493|7811|8750|8954|8319|6704|10054|6740|4243|2436|1236|602|242|94|24|2|0|0|0|0|0|0|0|0","0|804|1214|1796|2591|3632|4864|6221|7423|8257|8396|7735|6132|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|362|529|1759|1296|1509|1616|1567|1413|1191|971|772|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|922|1427|2288|3293|4793|6759|9165|11638|13373|14336|1306|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|804|1214|1796|2591|3632|4864|6221|7423|8257|8396|7735|6132|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","145658|145912|145545|144595|142951|140789|138229|135887|132003|127698|122495|116234|89161|66929|49249|35249|23371|13686|7744|3572|1564|395|27|8|1|0|0|0|0|0|0",0.95
"Alberta","SUV","PHEV",2046,15837,10157,2405,10986,10157,295214,"0|120|189|288|422|597|813|1060|1305|1505|1594|1549|1311|2056|1374|818|435|227|103|49|16|5|1|0|0|0|0|0|0|0|0","0|118|186|283|413|580|783|1010|1238|1417|1492|1438|1199|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|65|101|346|243|278|289|283|255|215|180|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|116|185|311|453|678|989|1397|1855|2234|2519|249|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|118|186|283|413|580|783|1010|1238|1417|1492|1438|1199|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","17300|17975|18458|18921|19332|19728|20139|20657|21018|21365|21579|21560|17485|13815|10110|6799|4111|2483|1292|726|269|67|19|4|1|0|0|0|0|0|0",0.95
"British Columbia","Car","BEV",2046,37742,6897,3156,4363,6897,796165,"0|34|51|78|117|174|254|373|535|775|1106|1587|2069|5749|6248|6101|5080|3537|2150|965|429|137|116|51|19|5|2|0|0|0|0","0|33|51|77|117|173|252|369|526|758|1074|1522|1945|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|30|46|162|134|175|227|278|351|433|586|734|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|38|58|101|144|222|343|527|803|1176|871|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|33|51|77|117|173|252|369|526|758|1074|1522|1945|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","53161|53123|53009|52816|52730|52768|52995|53467|53582|53673|53564|53044|45496|36978|28398|20331|12968|7348|3830|1568|653|245|233|118|46|13|4|2|0|0|0",0.95
"British Columbia","Car","PHEV",2046,7135,1237,573,709,1237,124678,"0|6|8|13|19|28|41|60|87|130|196|294|403|1169|1268|1170|901|647|367|197|76|24|20|8|3|0|0|0|0|0|0","0|5|9|12|19|28|40|58|86|129|189|282|380|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|6|9|30|24|30|38|48|61|77|108|142|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|4|8|15|20|32|50|82|128|197|157|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|5|9|12|19|28|40|58|86|129|189|282|380|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","6314|6542|6721|6906|7125|7387|7711|8121|8527|8980|9437|9840|8915|7602|5804|3911|2308|1334|659|315|115|41|38|15|6|3|1|0|0|0|0",0.95
"British Columbia","SUV","BEV",2046,72498,48665,10294,58346,48665,1581592,"0|663|1002|1485|2150|3035|4111|5322|6404|7175|7350|6927|5631|8426|5595|3475|1966|1006|484|180|70|21|15|5|0|0|0|0|0|0|0","0|659|994|1466|2112|2959|3980|5110|6107|6795|6911|6436|5136|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|308|441|1412|1005|1164|1247|1206|1092|933|814|672|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|737|1150|1857|2702|3970|5643|7685|9770|11202|11981|1649|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|659|994|1466|2112|2959|3980|5110|6107|6795|6911|6436|5136|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","115254|116286|117118|117566|117531|116868|115600|114070|110864|107018|102383|96702|73804|54635|39555|27787|18035|10561|5830|2365|1027|304|307|96|23|4|1|0|0|0|0",0.95
"British Columbia","SUV","PHEV",2046,13076,8356,1892,9283,8356,242233,"0|98|155|236|342|484|657|862|1066|1228|1303|1295|1107|1733|1149|676|355|186|84|37|13|4|5|1|0|0|0|0|0|0|0","0|98|153|230|334|468|636|825|1011|1163|1226|1202|1010|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|56|85|275|186|211|219|214|194|166|153|133|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|93|149|252|370|561|826|1170|1557|1870|2105|330|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|98|153|230|334|468|636|825|1011|1163|1226|1202|1010|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","13689|14325|14853|15385|15890|16376|16834|17337|17649|17897|18041|17941|14487|11282|8115|5347|3151|1891|946|469|161|49|88|25|5|2|0|0|0|0|0",0.95
"Manitoba","Car","BEV",2046,7850,1421,669,860,1421,164860,"0|7|11|16|25|37|55|79|111|159|229|324|422|1179|1296|1280|1074|746|456|215|95|30|3|1|0|0|0|0|0|0|0","0|8|10|17|25|37|53|77|109|156|222|311|396|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|7|9|36|30|40|50|62|76|94|119|146|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|7|12|22|31|46|71|106|162|237|150|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|8|10|17|25|37|53|77|109|156|222|311|396|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","11251|11270|11247|11153|11024|10894|10801|10771|10759|10794|10845|10838|9383|7732|5994|4335|2788|1577|830|365|160|42|4|2|1|0|0|0|0|0|0",0.95
"Manitoba","Car","PHEV",2046,1491,255,121,139,255,25767,"0|2|2|2|5|6|8|11|17|28|41|62|82|241|264|248|191|136|78|45|17|5|0|0|0|0|0|0|0|0|0","0|0|2|4|4|6|9|12|18|26|39|57|78|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|1|2|7|6|8|9|10|12|16|22|28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|1|1|2|4|6|11|17|26|40|28|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|2|4|4|6|9|12|18|26|39|57|78|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1336|1388|1425|1456|1487|1524|1570|1634|1711|1806|1911|2010|1837|1587|1222|832|495|284|141|73|27|8|1|1|0|0|0|0|0|0|0",0.95
"Manitoba","SUV","BEV",2046,19371,13059,2841,15421,13059,423274,"0|178|268|398|580|818|1110|1432|1724|1932|1986|1848|1487|2217|1474|922|524|268|129|50|20|6|0|0|0|0|0|0|0|0|0","0|176|267|395|570|799|1072|1373|1641|1828|1862|1718|1358|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|81|118|389|283|329|352|339|306|260|213|171|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|199|309|498|721|1054|1495|2033|2590|2977|3195|350|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|176|267|395|570|799|1072|1373|1641|1828|1862|1718|1358|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","31065|31314|31476|31472|31299|30993|30589|30141|29380|28440|27305|25907|19827|14792|10781|7656|5035|2962|1662|741|327|102|6|2|0|0|0|0|0|0|0",0.95
"Manitoba","SUV","PHEV",2046,3489,2246,525,2449,2246,64887,"0|27|42|63|92|132|179|233|287|332|353|344|291|455|301|179|94|48|23|10|4|0|0|0|0|0|0|0|0|0|0","0|27|40|63|91|126|173|223|274|313|331|319|266|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|14|23|76|52|61|63|62|54|47|40|33|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|25|40|68|99|149|219|309|413|497|561|69|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|27|40|63|91|126|173|223|274|313|331|319|266|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","3690|3858|3992|4118|4232|4345|4457|4583|4679|4758|4810|4806|3894|3053|2212|1475|885|536|276|149|55|17|6|1|0|0|0|0|0|0|0",0.95
