State,Segment,Propulsion,Year,BESS_stock_vector,BESS_stock_total
Alberta,Car,PHEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,PHEV,2023,0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2
Alberta,Car,PHEV,2024,0|0|0|0|0|0|3|2|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,7
Alberta,Car,PHEV,2025,0|0|0|0|0|0|1|5|4|3|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,17
Alberta,Car,PHEV,2026,0|0|0|0|0|0|0|3|8|7|5|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,30
Alberta,Car,PHEV,2027,0|0|0|0|0|0|1|1|5|13|11|9|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,48
Alberta,Car,PHEV,2028,0|0|1|1|1|1|1|3|3|9|20|17|13|4|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,77
Alberta,Car,PHEV,2029,0|1|1|2|2|2|3|3|5|5|14|29|25|12|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,110
Alberta,Car,PHEV,2030,0|1|2|3|4|4|4|5|5|10|8|22|40|23|10|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0,146
Alberta,Car,PHEV,2031,0|1|3|5|7|8|8|8|10|10|16|12|30|36|19|8|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0,185
Alberta,Car,PHEV,2032,0|2|3|6|9|12|13|13|13|15|15|25|18|27|31|16|6|2|1|0|0|0|0|0|0|0|0|0|0|0|0,227
Alberta,Car,PHEV,2033,0|2|4|7|11|15|21|22|21|20|25|24|36|16|23|25|12|5|1|1|0|0|0|0|0|0|0|0|0|0|0,291
Alberta,Car,PHEV,2034,0|2|5|9|12|19|25|32|33|33|30|35|32|32|13|19|20|9|3|1|1|0|0|0|0|0|0|0|0|0|0,365
Alberta,Car,PHEV,2035,0|2|5|10|15|20|30|38|51|51|50|44|48|29|28|11|14|14|7|2|1|0|0|0|0|0|0|0|0|0|0,470
Alberta,Car,PHEV,2036,0|2|5|10|18|25|31|46|59|77|76|72|60|43|25|23|9|11|10|4|2|0|0|0|0|0|0|0|0|0|0,608
Alberta,Car,PHEV,2037,0|3|5|10|18|29|39|49|72|87|115|110|99|54|37|20|18|6|8|7|3|1|0|0|0|0|0|0|0|0|0,790
Alberta,Car,PHEV,2038,0|3|6|11|18|29|46|61|76|110|127|165|150|89|46|30|16|13|4|5|5|2|1|0|0|0|0|0|0|0|0,1013
Alberta,Car,PHEV,2039,0|3|7|12|19|30|48|72|95|117|162|181|227|135|76|38|23|12|9|3|3|3|1|0|0|0|0|0|0|0|0,1276
Alberta,Car,PHEV,2040,0|3|7|13|21|31|49|75|110|143|175|231|247|203|115|62|29|17|8|6|2|2|2|1|0|0|0|0|0|0|0,1552
Alberta,Car,PHEV,2041,0|4|7|13|22|34|51|78|118|167|213|253|316|221|174|94|48|22|12|6|4|1|1|1|1|0|0|0|0|0|0,1861
